module,type,content,question,options_json,answer,explanation
classical_reading,shici_choice,"足肤皲裂而不知","句中「皲裂」的含义是：","[""光彩照人的样子"", ""朝廷"", ""皮肤冻裂"", ""被……所苦""]",C,"【第一步·判词义】句中「皲裂」意为「皮肤冻裂」，属文言常用义项。
【第二步·析语境】将「皮肤冻裂」代入原句「足肤皲裂而不知...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"犹幸预君子之列","句中「预」的含义是：","[""低下"", ""痛心遗憾"", ""光彩照人的样子"", ""参与""]",D,"【第一步·判词义】句中「预」意为「参与」，属文言常用义项。
【第二步·析语境】将「参与」代入原句「犹幸预君子之列...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,shici_choice,"群臣吏民能面刺寡人之过者","句中「面」的含义是：","[""平和"", ""深冬/严冬"", ""当面"", ""快步走""]",C,"【第一步·判词义】句中「面」意为「当面」，属文言常用义项。
【第二步·析语境】将「当面」代入原句「群臣吏民能面刺寡人之过者...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,translation,"道中手自抄录","翻译此句，重点解释「手」的含义。",[],"「手」意为「亲手（名词作状语）」。= by hand/亲手","采分点：「手」=亲手（名词作状语）。整句翻译需结合上下文。"
classical_reading,translation,"未尝不叹息痛恨于桓灵也","翻译此句，重点解释「痛恨」的含义。",[],"「痛恨」意为「痛心遗憾」。古义≠今义；不是恨，是遗憾","【第一步·字字落实】重点词「痛恨」=痛心遗憾，逐字对应现代汉语。
【第二步·句法还原】识别原句句式，还原为现代汉语语序。
【第三步·规范译文】字字落实，补充省略成分，避免意译。"
classical_reading,translation,test123,"翻译此句，重点解释「」的含义。",[],"「」意为「」。","【第一步·字字落实】重点词「」=，逐字对应现代汉语。
【第二步·句法还原】识别原句句式，还原为现代汉语语序。
【第三步·规范译文】字字落实，补充省略成分，避免意译。"
classical_reading,translation,"右备容臭","翻译此句，重点解释「容臭」的含义。",[],"「容臭」意为「香囊/气味」。≠臭味；古义为香气","【第一步·字字落实】重点词「容臭」=香囊/气味，逐字对应现代汉语。
【第二步·句法还原】识别原句句式，还原为现代汉语语序。
【第三步·规范译文】字字落实，补充省略成分，避免意译。"
classical_reading,translation,"盖余之勤且艰若此","翻译此句，重点解释「盖」的含义。",[],"「盖」意为「大概/发语词」。≈ 大概是这样","【第一步·字字落实】重点词「盖」=大概/发语词，逐字对应现代汉语。
【第二步·句法还原】识别原句句式，还原为现代汉语语序。
【第三步·规范译文】字字落实，补充省略成分，避免意译。"
classical_reading,xuci_choice,"学而时习之","句中「之」的用法是：","[""随从的女徒弟约十人左右"", ""如果有作奸犯科和尽忠行善的人"", ""代指学过的知识"", ""陈胜这个人，是阳城人""]",C,"【第一步·判词义】句中「之·代词：他/它」意为「代指学过的知识」，属文言常用义项。
【第二步·析语境】将「代指学过的知识」代入原句「学而时习之...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"且欲与常马等不可得","句中「且」的用法是：","[""千里的路程"", ""尚且想和普通马一样都得不到"", ""如果有作奸犯科和尽忠行善的人"", ""不是很快乐吗""]",B,"【第一步·判词义】句中「且·尚且」意为「尚且想和普通马一样都得不到」，属文言常用义项。
【第二步·析语境】将「尚且想和普通马一样都得不到」代入原句「且欲与常马等不可得...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"年且九十","句中「且」的用法是：","[""两只虫子全被吞掉"", ""在长勺作战"", ""随从的女徒弟约十人左右"", ""年龄将近九十""]",D,"【第一步·判词义】句中「且·将近」意为「年龄将近九十」，属文言常用义项。
【第二步·析语境】将「年龄将近九十」代入原句「年且九十...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"学而不思则罔","句中「而」的用法是：","[""我小心地起身"", ""学了但是不思考就会迷惑"", ""因为事情符合心意"", ""况且在哪里来放土石""]",B,"【第一步·判词义】句中「而·表转折：但是」意为「学了但是不思考就会迷惑」，属文言常用义项。
【第二步·析语境】将「学了但是不思考就会迷惑」代入原句「学而不思则罔...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"且焉置土石","句中「且」的用法是：","[""你是个雇工"", ""随从的女徒弟约十人左右"", ""况且在哪里来放土石"", ""古代求学的人一定有老师""]",C,"【第一步·判词义】句中「且·并且/况且」意为「况且在哪里来放土石」，属文言常用义项。
【第二步·析语境】将「况且在哪里来放土石」代入原句「且焉置土石...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"皆美于徐公","句中「于」的用法是：","[""尚且想和普通马一样都得不到"", ""代指学过的知识"", ""徐公不如您美"", ""都比徐公美""]",D,"【第一步·判词义】句中「于·介词：比」意为「都比徐公美」，属文言常用义项。
【第二步·析语境】将「都比徐公美」代入原句「皆美于徐公...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"何以战","句中「何」的用法是：","[""安定地生活愉快地工作"", ""如果有作奸犯科和尽忠行善的人"", ""凭什么作战"", ""大概是真的不认识千里马""]",C,"【第一步·判词义】句中「何·疑问：什么」意为「凭什么作战」，属文言常用义项。
【第二步·析语境】将「凭什么作战」代入原句「何以战...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"大道之行也","句中「之」的用法是：","[""可以远观却不可近玩"", ""学了但是不思考就会迷惑"", ""大道的施行"", ""两只虫子全被吞掉""]",C,"【第一步·判词义】句中「之·取消句子独立性」意为「大道的施行」，属文言常用义项。
【第二步·析语境】将「大道的施行」代入原句「大道之行也...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"叫嚣乎东西","句中「乎」的用法是：","[""在长勺作战"", ""况且在哪里来放土石"", ""在东西方向叫嚣"", ""全被吞掉""]",C,"【第一步·判词义】句中「乎·介词：在」意为「在东西方向叫嚣」，属文言常用义项。
【第二步·析语境】将「在东西方向叫嚣」代入原句「叫嚣乎东西...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"乃不知有汉","句中「乃」的用法是：","[""学了但是不思考就会迷惑"", ""用刀劈砍狼头"", ""可以成为老师了"", ""竟然不知道有汉朝""]",D,"【第一步·判词义】句中「乃·竟然」意为「竟然不知道有汉朝」，属文言常用义项。
【第二步·析语境】将「竟然不知道有汉朝」代入原句「乃不知有汉...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"若有作奸犯科及为忠善者","句中「若」的用法是：","[""都比徐公美"", ""如果有作奸犯科和尽忠行善的人"", ""因为事情符合心意"", ""哪里能得到千万间宽敞的大厦""]",B,"【第一步·判词义】句中「若·如果」意为「如果有作奸犯科和尽忠行善的人」，属文言常用义项。
【第二步·析语境】将「如果有作奸犯科和尽忠行善的人」代入原句「若有作奸犯科及为忠善者...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"可远观而不可亵玩焉","句中「焉」的用法是：","[""用脚踢过去给他"", ""可以远观却不可近玩"", ""我小心地起身"", ""用刀劈砍狼头""]",B,"【第一步·判词义】句中「焉·语气词」意为「可以远观却不可近玩」，属文言常用义项。
【第二步·析语境】将「可以远观却不可近玩」代入原句「可远观而不可亵玩焉...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"以光先帝遗德","句中「以」的用法是：","[""用脚踢过去给他"", ""你是个雇工"", ""来发扬光大先帝的遗德"", ""徐公不如您美""]",C,"【第一步·判词义】句中「以·连词：来」意为「来发扬光大先帝的遗德」，属文言常用义项。
【第二步·析语境】将「来发扬光大先帝的遗德」代入原句「以光先帝遗德...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"何以战","句中「何」的用法是：","[""于是重新修建岳阳楼"", ""学了但是不思考就会迷惑"", ""徐公不如您美"", ""凭什么作战""]",D,"【第一步·判词义】句中「何·疑问：什么」意为「凭什么作战」，属文言常用义项。
【第二步·析语境】将「凭什么作战」代入原句「何以战...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"可以为师矣","句中「为」的用法是：","[""可以远观却不可近玩"", ""这就是英雄"", ""可以成为老师了"", ""高祖凭借它成就了帝业""]",C,"【第一步·判词义】句中「为 wéi·成为」意为「可以成为老师了」，属文言常用义项。
【第二步·析语境】将「可以成为老师了」代入原句「可以为师矣...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"食马者不知其能千里而食也","句中「其」的用法是：","[""不是很快乐吗"", ""竟然不知道有汉朝"", ""古代求学的人一定有老师"", ""它的（指千里马）的能力""]",D,"【第一步·判词义】句中「其·代词：它的」意为「它的（指千里马）的能力」，属文言常用义项。
【第二步·析语境】将「它的（指千里马）的能力」代入原句「食马者不知其能千里而食也...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"告之于帝","句中「于」的用法是：","[""来发扬光大先帝的遗德"", ""喂马的人"", ""向天帝报告"", ""都比徐公美""]",C,"【第一步·判词义】句中「于·介词：向」意为「向天帝报告」，属文言常用义项。
【第二步·析语境】将「向天帝报告」代入原句「告之于帝...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"高祖因之以成帝业","句中「因」的用法是：","[""学了不思考就会迷惑"", ""大概是真的不认识千里马"", ""我和你一起尽全力铲除险阻"", ""高祖凭借它成就了帝业""]",D,"【第一步·判词义】句中「因·凭借」意为「高祖凭借它成就了帝业」，属文言常用义项。
【第二步·析语境】将「高祖凭借它成就了帝业」代入原句「高祖因之以成帝业...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"安得广厦千万间","句中「安」的用法是：","[""千里的路程"", ""温习旧知而且获得新知"", ""哪里能得到千万间宽敞的大厦"", ""怎么能要求它日行千里""]",C,"【第一步·判词义】句中「安·哪里」意为「哪里能得到千万间宽敞的大厦」，属文言常用义项。
【第二步·析语境】将「哪里能得到千万间宽敞的大厦」代入原句「安得广厦千万间...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
classical_reading,xuci_choice,"安求其能千里也","句中「安」的用法是：","[""高祖凭借它成就了帝业"", ""徐公不如您美"", ""不是很快乐吗"", ""怎么能要求它日行千里""]",D,"【第一步·判词义】句中「安·怎么」意为「怎么能要求它日行千里」，属文言常用义项。
【第二步·析语境】将「怎么能要求它日行千里」代入原句「安求其能千里也...」，语义通顺，符合上下文逻辑。
【第三步·避误区】其他选项或为现代汉语引申义，或语义不通，代入后句子矛盾。"
